name,address,type,opened,closed,Borough
23 St Saloon,"565 W 23rd St, New York, NY 10011",bar/resturant,,,Manhattan
East 53,"244 E 53rd St, New York, NY 10022",bar/resturant,,,Manhattan
Panache,"149 E 57th St, New York, NY 10022",bar/resturant,,,Manhattan
Chequers,"311 W 48th St, New York, NY 10019",bar/resturant,,,Manhattan
Breadstix,"113-24 Queens Blvd Forest Hills, NY 11375",bar/resturant,,,Queens
II Gigolo,"78-17 Roosevelt Ave Flushing, NY 11372",bar/resturant,,,Queens
Ox Cart,"78-11 Roosevelt Ave Jackson Heights, NY 11372",bar/resturant,,,Queens
Starz,"836 Grand Blvd Westbury, NY 11590",bar/resturant,,,Queens
Su-Su's Yum Yum,"60 Henry St Brooklyn, NY 11201",bar/resturant ,,,Brooklyn
Waldo's,"151 Montague St Brooklyn, NY 11201",bar/resturant ,,,Brooklyn
Censi's,"5 Front St Brooklyn, NY 11201",bar/resturant ,,,Brooklyn
Freddy's,"308 E 49th St, New York, NY 10017",bar/resturant/cabaret,,,Manhattan
New St. Marks Baths,"6 St Marks Pl, New York, NY 10003",bath,1979,1985,Manhattan
Club Baths,"24 1st Ave, New York, NY 10009",bath,,,Manhattan
Wall Street Sauna,"1 Maiden Ln, New York, NY 10038",bath,,,Manhattan
Broadway Arms,"218 W 49th St, New York, NY 10019",bath,,,Manhattan
Eastside Sauna,"227 E 56th St, New York, NY 10022",bath,,,Manhattan
42nd Street Barracks,"226 W 42nd St, New York, NY 10036",bath,,,Manhattan
Suana Bath & Health Club,"18 W 58th St, New York, NY 10019",bath,,,Manhattan
Continental Sauna,"111 W 56th St, New York, NY 10019",bath,,,Manhattan
Barracks,"226 W 42nd St, New York, NY 10036",bath,,,Manhattan
New Saint Marks ,"6 St Marks Pl, New York, NY 10003",bath,,,Manhattan
Claret Baths,"1415 Riegelmann Boardwalk, Brooklyn, NY 11224",bath,,,Brooklyn
Stauch's Baths,"2534 W 15th St, Brooklyn, NY 11214",bath,,,Brooklyn
Northern Men's Sauna,"137-08 Northern Blvd, Flushing, NY 11354",bath,,,Queens
Man's Country,"28 W 15th St, New York, NY 10011",bath/gym/fantasy rooms,,,Manhattan
Everard Baths,"28 W 28th St, New York, NY 10001",baths,1888,1986,Manhattan
Paths Untrodden Book Service,,book,,,Manhattan
Priapus Books & Films,"111 E 12th St, New York, NY 10003",book/sex shop,,,Manhattan
Christopher Street Book Shop,"500 Hudson St, New York, NY 10014",bookstore,,,Manhattan
Djuna Books,"154 W 10th St, New York, NY 10014",bookstore,1977,1982,Manhattan
Oscar Wilde Memorial Book Store,"15 Christopher St, New York, NY 10014",bookstore,1967,2009,Manhattan
Madison Card & Book Shop,"123 E 57th St, New York, NY 10022",bookstore,,,Manhattan
It's a Man's World,"287 Amsterdam Ave, New York, NY 10023",bookstore,,,Manhattan
Les Hommes Book Store,"217 W 80th St, New York, NY 10024",bookstore,,,Manhattan
Womanbooks,"201 W 92nd St, New York, NY 10025",bookstore,1975,1987,Manhattan
A Different Light,"548 Hudson St, New York, NY 10014",bookstore,,,Manhattan
Judith's Room,"681 Washington St, New York, NY 10014",bookstore,,,Manhattan
Midtown Bookstore,"318 W 42nd St, New York, NY 10036",bookstore,,,Manhattan
Ansonia Books,"170 W 74th St, New York, NY 10023",bookstore,,,Manhattan
Black Jack Books,"210 W 42nd St, New York, NY 10036",bookstore,,,Manhattan
Community Book Stores,"162 Montague St, Brooklyn, NY 11201",bookstore,1971,2024,Brooklyn
Jaybird Books,"408 Jay St, Brooklyn, NY 11201",bookstore,,,Brooklyn
Pandora Books,"88 Court St, Brooklyn, NY 11201",bookstore,,,Brooklyn
Adult Fair Cinema,"90-18 Astoria Blvd, East Elmhurst, NY 11369",bookstore,,,Queens
Royal Roost,"154 W 13th St, New York, NY 10011",cabaret,,,Manhattan
55th Street Playhouse,"7th Ave & W 55th St, New York, NY 10105",cinema,,,Manhattan
The Spartan,"220 E 59th St, New York, NY 10022",cinema,,,Manhattan
The Fair,"Astoria Blvd & 90th St Queens, NY 11369",cinema,,,Queens
Club Se Soir,"50 Watts St, New York, NY 10013",club,,,Manhattan
Park Villa II/On Stage,"70 Beach St, Staten Island, NY 10304",club,1979,1991,Staten Island
Brazil,"86 Mills Ave, Staten Island, NY 10305",club,1976,1982,Staten Island
Club Brazil,"86 Mills Ave, Staten Island, NY 10305",club,1976,1982,Staten Island
The Laundry Chute,"W 74th St & Amsterdam Ave, New York, NY 10023",coffee shop,,,Manhattan
Omnibus,"69 W 10th St, New York, NY 10011",coffee shop,,,Manhattan
Greenwich Village Waterfront,"393 West St, New York, NY 10014",cruising,1914,2001,Manhattan
Cruising Spot,"Bleecker St & Hudson St, New York, NY 10014",cruising,,,Manhattan
Cruising Spot,"Christopher St & West St, New York, NY 10014",cruising,,,Manhattan
Cruising Spot,"6th Ave & Greenwich Ave, New York, NY 10011",cruising,,,Manhattan
Metropolitan Theatre,"235 E 14th St, New York, NY 10003",cruising,,,Manhattan
Cruising Spot,"Sheridan Square, New York, NY 10014",cruising,,,Manhattan
Cruising Spot,"Weehawken St, New York, NY 10014",cruising,,,Manhattan
Cruising Spot,"West St, New York, NY",cruising,,,Manhattan
Cruising Spot (subway stations) (PENN STATION ADDRESS),"390 7th Ave., New York, NY 10001",cruising,,,Manhattan
Cruising Spot,"1471 Broadway, New York, NY 10036",cruising,,,Manhattan
Cruising Spot,"Beekman Pl, New York, NY 10022",cruising,,,Manhattan
Cruising Spot,"Bethesda Fountain, New York, NY 10024",cruising,,,Manhattan
Cruising Spot,"W 77th St & Central Park W, New York, NY  10024",cruising,,,Manhattan
Cruising Spot,"Lincoln Center Plaza, New York, NY 10023",cruising,,,Manhattan
Cruising Spot,"1000 5th Ave, New York, NY 10028",cruising,,,Manhattan
Cruising Spot,"West Side Hwy, New York, NY 10069",cruising,,,Manhattan
Cruising Spot,"W 75th St & Amsterdam Ave, New York, NY  10023",cruising,,,Manhattan
Cruising Spot,"E 70th St & Third Avenue, New York, NY  10021",cruising,,,Manhattan
Bryant Park,"W 42nd St & 5th AveNew York, NY 10036",cruising,,,Manhattan
