name,address,type,opened,closed,Borough
The Stone Wall,"53 Christopher St, New York, NY 10014",,,,Manhattan
Stage 45,"305 W 45th St, New York, NY 10036",,,,Manhattan
Two Turtles,"E 27th St & Park Ave S, New York, NY 10010",,,,Manhattan
Steve Carney's,"2nd Ave & E 80th St, New York, NY 10075",,,,Manhattan
Trude Heller's,"6th Ave & W 9th St, New York, NY 10011",,,,Manhattan
Washington Square,"675 Broadway, New York, NY 10012",,,,Manhattan
Yukon Bar,"140 E 53rd St, New York, NY 10022",,,,Manhattan
Bogart's,"320 E 59th St, New York, NY 10022",,,,Manhattan
Brandy's Piano Bar,"235 E 84th St, New York, NY 10028",,,,Manhattan
The Break,"232 8th Ave, New York, NY 10011",,,,Manhattan
C.J. Blanda,"209 7th Ave, New York, NY 10011",,,,Manhattan
Cats Too,"232 W 48th St, New York, NY 10036",,,,Manhattan
Cats  ,"730 8th Ave, New York, NY 10036",,,,Manhattan
Cell Block 28,"28 9th Ave, New York, NY 10014",,,,Manhattan
Chelsea Transfer,"131 8th Ave, New York, NY 10011",,,,Manhattan
Chez Michallet,"90 Bedford St, New York, NY 10014",,,,Manhattan
Club Edelweiss,"167 W 29th St, New York, NY 10001",,,,Manhattan
D.T's a Fat Cat,"281 W 12th St, New York, NY 10014",,,,Manhattan
Don't Tell Mama,"343 W 46th St, New York, NY 10036",,,,Manhattan
The Dugout on Christopher,"185 Christopher St, New York, NY 10014",,,,Manhattan
Gents,"360 W 42nd St, New York, NY 10036",,,,Manhattan
Hangout,"675 Hudson St, New York, NY 10014",,,,Manhattan
New Jimmy's,"53 Christopher St, New York, NY 10014",,,,Manhattan
Pandora's Box,"70 Grove St, New York, NY 10014",,,,Manhattan
Rawhide,"212 8th Ave, New York, NY 10011",,,,Manhattan
Reed's,"8 Christopher St, New York, NY 10014",,,,Manhattan
Rosalie's,"531 Hudson St, New York, NY 10014",,,,Manhattan
Rose's Turn,"55 Grove St, New York, NY 10014",,,,Manhattan
Sally's Hideaway,"264 West 43rd St, New York, NY 10036",,,,Manhattan
South Dakota,"405 3rd Ave, New York, NY 10016",,,,Manhattan
Star Sapphire,"400 E 59th St, New York, NY 10022",,,,Manhattan
Town and Country Pub,"656 9th Ave, New York, NY 10036",,,,Manhattan
Trix,"246 W 48th St, New York, NY 10036",,,,Manhattan
Two Potato,"143 Christopher St, New York, NY 10014",,,,Manhattan
The Works,"428 Columbus Ave, New York, NY 10024",,,,Manhattan
Barrel Inn,"568 9th Ave, New York, NY 10036",,,,Manhattan
Beaded Bag,"951 1st Ave, New York, NY 10022",,,,Manhattan
Big Spender,"315 W 48th St, New York, NY 10019",,,,Manhattan
Brother Moe's,"1643 1st Ave, New York, NY 10028",,,,Manhattan
Bull Feathers,"1716 2nd Ave, New York, NY 10128",,,,Manhattan
Circus Lounge,"1369 Flatbush Ave, Brooklyn, NY 11210",,,,Manhattan
Country Cousin,"1313 3rd Ave, New York, NY 10021",,,,Manhattan
Gianni's,"53 W 19th St, New York, NY 10011",,,,Manhattan
Gold Bug,"83 W 3rd St, New York, NY 10012",,,,Manhattan
Hip-A-Drome,"165 Avenue A, New York, NY 10009",,,,Manhattan
Hot Line,"1544 12th Ave, New York, NY 10036",,,,Manhattan
Pepy's Place,"153 W 48th St, New York, NY 10036",,,,Manhattan
Piccadilly Pub,"324 Amsterdam Ave, New York, NY 10023",,,,Manhattan
The Planetarium,"181 2nd Ave, New York, NY 10003",,,,Manhattan
Pub Society,"1694 2nd Ave, New York, NY 10128",,,,Manhattan
Roundtable,"151 E 50th St, New York, NY 10022",,,,Manhattan
Sanctuary,"407 West 43rd St, New York, NY 10036",,,,Manhattan
Tool Box,"507 West St, New York, NY 10014",,,,Manhattan
Triangle Bar,"34 9th Ave, New York, NY 10014",,,,Manhattan
Troubador,"1064 1st Ave, New York, NY 10022",,,,Manhattan
Victor's Quarters,"84 2nd Ave, New York, NY 10003",,,,Manhattan
Zodiac Uptown,"1487 1st Ave, New York, NY 10075",,,,Manhattan
The Year 2000,"318 W 49th St, New York, NY 10019",,,,Manhattan
Al Buon Gusto,"257 Columbus Ave, New York, NY 10023",,,,Manhattan
When We Win,"1 Sheridan Square, New York, NY 10014",,,,Manhattan
Camp David,"1007 Lexington Ave, New York, NY 10021",,,,Manhattan
Heavenly Host,"463 Hudson St, New York, NY 10014",,,,Manhattan
Big Wok,"753 Washington St, New York, NY 10014",,,,Manhattan
Katherine Restaurant,"183 W 10th St, New York, NY 10014",,,,Manhattan
Club 71,"71 Pineapple St, Brooklyn, NY 11201",,,,Brooklyn
Danny's of Brooklyn Heights,"108 Montague St, Brooklyn, NY 11201",,,,Brooklyn
Francis Cranflone,"357 Dean St, Brooklyn, NY 11217",,,,Brooklyn
Iron Horse Pub,"189 7th Ave, Brooklyn, NY 11215",,,,Brooklyn
Rhythm,"6826 New Utrecht Ave, Brooklyn, NY 11219",,,,Brooklyn
Sal's Place,"79 Pineapple St, Brooklyn, NY 11201",,,,Brooklyn
After Five Plus,"5 Front St Brooklyn, NY 11201",,,,Brooklyn
Piano Bar,"180 Montague St Brooklyn, NY 11201",,,,Brooklyn
Apartment,"508 Willis Ave, Bronx, NY 10455",,,,Bronx
El Horoscope,"1969 Jerome Ave, Bronx, NY 10453",,,,Bronx
Ronnie's Thing,"56 E Mt Eden Ave, Bronx, NY 10452",,,,Bronx
Friend's Tavern,"78-11 Roosevelt Ave, Jackson Heights, NY 11372",,1989,2024,Queens
Krash,"34-48 Steinway St, Astoria, NY 11101",,,,Queens
Love Boat,"7702 Broadway, Elmhurst, NY 11373",,1985,1995,Queens
A Touch of Class,"113-24 Queens Blvd, Forest Hills, NY 11375",,,,Queens
Arck Lane,"130-02 Atlantic Ave, South Richmond Hill, NY 11419",,,,Queens
Betsy Ross,"73-13 37th Ave, Jackson Heights, NY 11372",,,,Queens
Billy the Kid,"76-07 Roosevelt Ave, Jackson Heights, NY 11372",,,,Queens
Club Freida's Hideaway,"81-36 Baxter Ave, Elmhurst, NY 11373",,,,Queens
Cozy Cabin,"92-03 Astoria Blvd, Flushing, NY 11369",,,,Queens
Fiddlesticks,"205 Cypress Ave, Ridgewood, NY 11385",,,,Queens
Flavors,"120-31 83rd Ave, Kew Gardens, NY 11415",,,,Queens
Hideaway ,"153-40 Hillside Ave., Jamaica, NY 11432",,,,Queens
Mr. Dreams,"63-12 Broadway, Woodside, NY 11377",,,,Queens
Sparky's,"130-4 Atlantic Ave, South Richmond Hill, NY 11419",,,,Queens
Tavern on the Turn,"172-22 Hillside Ave., Jamaica, NY 11432",,,,Queens
Trysting Place,"120-31 83rd Ave, Kew Gardens, NY 11415",,,,Queens
Golden Note,"74-24 37th Ave, Jackson Heights, NY 11372",,,,Queens
White Pickets,,,,,Staten Island
