name,address,type,opened,closed,borough,date_approx
Menemsha Bar,"132 E 57th St, New York, NY 10022",bar,1947,1985,Manhattan,yes
Village Stix,"139 Christopher St, New York, NY 10014",bar,1982,1985,Manhattan,yes
Twilight,"1463 3rd Ave, New York, NY 10028",bar,1980,1985,Manhattan,yes
Waverly Waverly,"147 Waverly Pl, New York, NY 10014",restaurant,1984,1985,Manhattan,yes
Boy Bar,"15 St Marks Pl, New York, NY 10003",bar,1984,1985,Manhattan,yes
Scaramouche Rest.,"157 Duane St, New York, NY 10013",restaurant,1984,1985,Manhattan,yes
Fulton's Sidewalk Café,"2061 Broadway, New York, NY 10023",restaurant/café,1980,1985,Manhattan,yes
Rogers Restaurant,"21 Greenwich Ave, New York, NY 10014",restaurant,1984,1985,Manhattan,yes
Four By Twelve,"218 W. 12th St, New York, NY 10014",bar,1984,1985,Manhattan,yes
42nd Street Barracks,"226 W 42nd St, New York, NY 10036",baths,1970,1985,Manhattan,yes
Beacon Baths,"227 E 45th St, New York, NY 10017",baths,1970,1985,Manhattan,yes
O'Neill's Backyard,"231 W 48th St, New York, NY 10036",bar,1982,1985,Manhattan,yes
Billy's Chelsea Bar,"232 8th Ave, New York, NY 10011",bar,1983,1985,Manhattan,yes
Pershing's,"234 Columbus Ave, New York, NY 10023",restaurant,1980,1985,Manhattan,yes
Empire,"234 W 42nd St, New York, NY 10036",theatre,1912,1985,Manhattan,yes
New Yorker,"2418 Broadway, New York, NY 10024",cruising-at-movies,1914,1985,Manhattan,yes
La Fiesta,"253 W 46th St, New York, NY 10036",bar,1980,1985,Manhattan,yes
Blue's,"264 W 43rd St, New York, NY 10036",bar/disco,1980,1985,Manhattan,yes
Centre Bar,"29 St Marks Pl, New York, NY 10003",bar,1982,1985,Manhattan,yes
Sauna Baths,"300 W 58th St, New York, NY 10019",baths,1970,1985,Manhattan,yes
Peter Rabbit,"305 W 10th St, New York, NY 10014",bar,1972,1985,Manhattan,yes
Freddy's,"308 E 49th St, New York, NY 10017",bar/restaurant/cabaret,1982,1985,Manhattan,yes
Peeches Three,"314 E 72nd St, New York, NY 10021",bar,1980,1985,Manhattan,yes
Boot Hill,"317 Amsterdam Ave, New York, NY 10023",bar,1973,1985,Manhattan,yes
Bogarts,"320 E 59th St, New York, NY 10022",bar,1982,1985,Manhattan,yes
Las Ventanas Restaurant,"329 Bleecker St, New York, NY 10014",restaurant,1984,1985,Manhattan,yes
Casa Paco,"330 Bleecker St, New York, NY 10014",restaurant,1974,1985,Manhattan,yes
Holland,"351 W 42nd St, New York, NY 10036",restaurant,1984,1985,Manhattan,yes
Big Dish,"383 W 12th St, New York, NY 10014",restaurant,1980,1985,Manhattan,yes
The Stable,"400 W 14th St, New York, NY 10014",bar,1983,1985,Manhattan,yes
South Dakota,"405 3rd Ave, New York, NY 10016",bar,1982,1985,Manhattan,yes
Sheridan Square Health Club,4th and Christopher Streets (Greenwich Village),gym,1965,1985,Manhattan,yes
Zips,"636 Hudson St, New York, NY 10014",bar,1983,1985,Manhattan,yes
Paula's,"64 Greenwich Ave, New York, NY 10011",bar,1971,1985,Manhattan,yes
J's,"675 Hudson St, New York, NY 10014",bar,1982,1985,Manhattan,yes
Mim's Restaurant,"8 Christopher St, New York, NY 10014",restaurant,1984,1985,Manhattan,yes
The Mine Shaft,"835 Washington St, New York, NY 10014",bar/backroom,1976,1985,Manhattan,yes
Crossroad,"858 9th Ave, New York, NY 10019",bar,1980,1985,Manhattan,yes
Studio 88,"86-30 Roosevelt Ave Elmhurst, NY 11373",bar,1982,1985,Queens,yes
Sticky Fingers,"87 Christopher St, New York, NY 10014",bar,1984,1985,Manhattan,yes
Hernando's,"9 Christopher St, New York, NY 10014",sex-shop,1970,1985,Manhattan,yes
Sapphire Bar,"957 1st Ave., New York, NY 10022",bar,1984,1985,Manhattan,yes
Last Call,"975 2nd Ave, New York, NY 10022",bar,1974,1985,Manhattan,yes
Club 1032,"1032 2nd Ave, New York, NY 10022",club,1980,1985,Manhattan,yes
Francis Cranflone,"357 Dean St, Brooklyn, NY 11217",hotel,1980,1985,Brooklyn ,yes
It's a Man's World,"287 Amsterdam Ave, New York, NY 10023",bookstore,1980,1985,Manhattan,yes
Laminations,"39 Christopher St, New York, NY 10014",gift-shop,1980,1985,Manhattan,yes
Leather Rack,"247 W 42nd St, New York, NY 10036",sex-shop,1980,1985,Manhattan,yes
Little Peter's,"St Marks Pl & 3rd Ave, New York, NY 10003",cabaret,1980,1985,Manhattan,yes
New Male Box,"210 W 42nd St, New York, NY 10036",erotica/cruising,1980,1985,Manhattan,yes
Ossi Guest House,"358 W 30th St, New York, NY 10001",hotel,1980,1985,Manhattan,yes
Ruins ,"158 Perry St, New York, NY 10014",cinema,1979,1985,Manhattan,yes
Studio 54 (originally Gallo Opera House),"254 W 54th St, New York, NY 10019",disco,1977,1986,Manhattan,no
Everard baths,"28 W 28th St, New York, NY 10001",baths,1888,1986,Manhattan,no
