name,address,type,opened,closed,borough,date approx.,latitude,longitude
Beach Haven Bar,"901 Father Capodanno Blvd, Staten Island, NY 10305",bar,1963,1985,Staten Island,,40.574412273445,-74.085443872137
Tiffany Restaurant,"222 West 4th Street, New York, NY 10014",restaurant,1964,1994,Manhattan,no,40.734052345606,-74.0029843492
Kooky's,"149 W 14th St, New York, NY 10011",bar,1965,1973,Manhattan,,40.737897711505,-73.997970466942
Buddy-Buddy Club,"1400 Clove Rd, Staten Island, NY 10301",bar/restaurant,1965,1976,Staten Island,,40.613382796106,-74.100553061079
Sazerac House,"533 Hudson St, New York, NY 10014",restaurant,1965,2006,Manhattan,no,40.734391768437,-74.006263726653
Leather Man,"85 Christopher St, New York, NY 10014",sex shop,1965,2025,Manhattan,yes,40.733533569713,-74.003709132226
Carr's,"204 W 10th St, New York, NY 10014",bar,1966,,Manhattan,yes,40.734038356219,-74.003990381761
Broadway Arms,"218 W 49th St, New York, NY 10019",baths,1967,1991,Manhattan,no,40.760876533687,-73.984858030389
Oscar Wilde Memorial Book Store,"15 Christopher St, New York, NY 10014",bookstore,1967,2009,Manhattan,no,40.734018070616,-74.000446061484
Christopher Street Book Shop,"500 Hudson St, New York, NY 10014",bookstore,1967,2009,Manhattan,no,40.732992610387,-74.006342015457
Corduroy Club,"240 W 38th St, New York, NY 10018",private club,1967,1971,Manhattan,no,40.753956332861,-73.989996748896
Serendipity General Store,"225 E 60th St, New York, NY 10022",after hours malt shop,1968,1974,Manhattan,yes,40.761984190017,-73.965509166861
The Camp,"W 69th St & Columbus Ave, New York, NY 10023",after hours place,1968,1974,Manhattan,yes,40.775481730423,-73.980201055951
Big Spender,"315 W 48th St, New York, NY 10019",bar,1968,,Manhattan,,40.761382795077,-73.98767888554
Suana baths & Health Club,"18 W 58th St, New York, NY 10019",baths,1968,1974,Manhattan,yes,40.764076299656,-73.974561716118
Continental Baths at the Ansonia Hotel,"230 W 74th St, New York, NY 10023",baths,1968,1976,Manhattan,no,40.780551797487,-73.982322755601
Omnibus,"69 W 10th St, New York, NY 10011",coffee shop,1968,1974,Manhattan,yes,40.734461619825,-73.997789884045
The Laundry Chute,"W 74th St & Amsterdam Ave, New York, NY 10023",coffee shop,1968,1974,Manhattan,yes,40.779927729569,-73.98067355553
Tenth of Always,"82 W 3rd St, New York, NY 10012",juice bar,1968,1972,Manhattan,,40.729727284852,-73.998837553922
NY Motorbike Club,"149 W 21st St, New York, NY 10011",private club,1968,1974,Manhattan,yes,40.74225167781,-73.995094658862
The New Gallery (in Van Rensselaer Hotel),"15 E 11th St, New York, NY 10003",private club,1968,1974,Manhattan,yes,40.733691551257,-73.99407893453
Mystique East,"256 E 49th St, New York, NY 10022",private club,1968,1974,Manhattan,yes,40.75457873424,-73.969915181762
The Great Society,"2nd Ave & E 14th St, New York, NY 10003",private club,1968,1974,Manhattan,yes,40.732344739034,-73.984939557051
Two Penny Club,"36 E 30th St, New York, NY 10016",private club,1968,1974,Manhattan,yes,40.74507654427,-73.984559661778
El Baron Club,"74-02 Eliot Ave, Flushing, NY 11379",private club,1968,1974,Queens,yes,40.722008853265,-73.885525010062
Table Top Club,"E 93rd St & 3rd Ave, New York, NY 10128",private club,1968,1974,Manhattan,yes,40.783257727867,-73.950739564919
The Den,"Greenwich St & W 12th St, New York, NY 10014",private club,1968,1974,Manhattan,yes,40.737546738771,-74.006485549836
Stud (International),"731 Greenwich St, New York, NY 10014",bar/backroom,1969,1981,Manhattan,yes,40.734760167764,-74.006964287111
Eros Male Cinema,"732 8th Ave, New York, NY 10036",cinema,1969,1997,Manhattan,no,40.759319367339,-73.988190693853
Horn of Plenty,"91 Charles St, New York, NY 10014",restaurant,1969,1984,Manhattan,yes,40.734685136181,-74.004954087383
